preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,espaco_social,piscina,academia
353500.0,85,2,2,0,2,5.0,1,84.0,180.0,0,0,0,0
303000.0,71,1,2,0,1,2.0,1,40.0,180.0,0,0,0,0
191000.0,45,1,2,0,1,2.0,1,36.0,180.0,0,0,0,0
201000.0,45,1,2,0,1,3.0,1,34.0,180.0,0,0,0,0
328250.0,85,2,2,0,2,5.0,1,84.0,180.0,0,0,0,0
150000.0,60,1,2,0,1,2.0,1,50.0,160.0,0,0,0,0
154300.0,56,1,2,0,1,2.0,1,31.08,150.0,0,0,0,0
230000.0,68,2,3,1,2,3.0,1,88.0,150.0,0,0,0,0
245000.0,51,1,2,0,1,4.0,1,100.0,120.0,0,0,0,0
150000.0,47,1,2,0,1,2.0,1,35.0,170.0,0,0,1,0
161000.0,45,1,2,0,1,3.0,1,29.17,180.0,0,0,1,0
160664.44,65,1,2,0,1,4.0,1,33.0,210.0,0,0,1,0
150000.0,48,1,2,0,1,2.0,1,30.23,154.0,0,0,1,0
310000.0,60,2,2,1,2,9.0,1,100.0,405.0,0,1,1,0
150000.0,47,1,2,0,1,4.0,1,32.5,180.0,0,0,0,0
180000.0,44,1,2,0,1,1.0,1,73.33,230.0,0,0,1,0
250000.0,90,1,2,0,1,4.0,1,88.33,253.0,0,0,1,0
243000.0,64,1,2,0,1,1.0,1,120.0,180.0,0,0,0,0
208000.0,45,1,2,0,1,2.0,1,80.0,180.0,0,0,0,0
278500.0,80,1,2,0,1,4.0,1,150.0,180.0,0,0,0,0
227500.0,54,1,2,0,1,2.0,1,40.0,180.0,0,0,0,0
290000.0,64,1,2,0,1,2.0,1,75.0,80.0,0,0,0,0
234044.44,100,1,2,0,1,4.0,1,55.18,100.0,0,0,0,0
191489.37,52,1,2,0,1,3.0,1,900.0,230.0,1,1,1,1
239400.0,70,2,3,1,2,1.0,1,110.0,320.0,1,0,1,0
215000.0,87,1,2,0,1,1.0,1,90.0,300.0,1,1,1,0
249000.0,75,1,2,0,1,1.0,1,47.53,200.0,1,1,1,0
340000.0,68,2,3,1,2,2.0,3,74.17,200.0,0,0,0,0
450000.0,109,2,3,1,2,1.0,1,100.0,150.0,0,0,0,0
250000.0,50,1,2,0,1,3.0,1,45.17,85.0,0,0,0,0
150000.0,49,1,2,0,1,0.0,1,50.0,190.0,0,0,0,0
253491.89,70,2,2,1,2,12.0,1,67.75,350.0,1,1,1,1
400000.0,90,2,2,1,2,4.0,2,82.0,170.0,0,0,0,0
230000.0,48,1,2,0,1,6.0,1,35.83,235.0,1,0,1,0
280000.0,55,2,2,2,2,12.0,1,70.83,350.0,1,1,1,0
350000.0,60,2,3,1,2,3.0,1,83.33,280.0,1,1,1,0
318000.0,75,2,3,1,2,2.0,1,108.33,450.0,1,1,1,1
150000.0,45,1,2,0,1,2.0,1,60.0,180.0,0,0,0,0
279000.0,57,2,2,1,2,2.0,1,70.0,200.0,0,0,0,0
415000.0,110,2,2,1,2,4.0,1,170.0,200.0,0,0,0,0
279000.0,52,2,2,1,2,2.0,1,70.0,200.0,0,0,0,0
