preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,distancia_metro,espaco_social,piscina,academia,lat,lng,ranking_escola,distancia_escola,renda_media,qtd_crimes_violentos,farmacias_proximas,supermercados_proximos,parques_proximos
217000.0,47,1,2,0,1,4.0,1,45.2,288.52,1,5271,0,1,0,-19.7978909,-43.990185,53,0.577,2261,13,6,5,1
179000.0,45,1,2,0,1,3.0,1,37.5,115.0,0,6042,0,0,0,-19.7993978,-43.9993068,53,0.827,2261,13,12,5,3
220500.0,105,1,2,0,1,5.0,2,70.83,70.0,1,6042,0,0,0,-19.7993978,-43.9993068,53,0.827,2261,13,12,5,3
250000.0,45,1,0,0,1,4.0,1,58.33,700.0,0,6042,0,0,0,-19.7993978,-43.9993068,53,0.827,2261,13,12,5,3
170000.0,50,1,2,0,1,3.0,1,70.83,250.0,0,5743,0,0,0,-19.7997749,-43.9963461,53,0.54,2261,13,13,6,2
160000.0,66,1,2,0,1,1.0,1,250.0,100.0,0,5734,0,0,0,-19.80011,-43.99642,53,0.525,2261,13,13,6,2
185000.0,47,2,2,1,2,2.0,1,29.17,200.0,0,5732,0,0,0,-19.80107699,-43.99686504,53,0.517,2261,13,13,7,2
201100.0,68,1,2,0,1,2.0,1,100.0,150.0,0,5971,0,0,0,-19.80112002,-43.99937001,53,0.767,2261,13,13,6,3
380000.0,140,2,3,1,2,3.0,2,112.08,100.0,0,5279,0,0,0,-19.80194144,-43.9925222,53,0.092,2261,13,4,6,3
341000.0,95,2,3,0,2,4.0,1,91.67,275.0,1,2438,0,1,0,-19.80228211,-43.93630433,106,0.058,1816,48,5,3,2
215000.0,67,1,3,0,1,1.0,2,870.0,190.0,1,1981,0,1,0,-19.8041092,-43.9479468,113,0.485,1694,48,2,4,1
160000.0,58,1,3,0,1,2.0,1,63.17,200.0,1,1981,0,1,0,-19.8041092,-43.9479468,113,0.485,1694,48,2,4,1
209501.0,61,1,2,0,1,2.0,1,48.37,250.0,0,2073,0,1,0,-19.8043274,-43.9400794,113,0.344,1694,48,4,3,1
268088.62,100,1,2,0,1,4.0,2,103.33,110.0,0,2073,0,1,0,-19.8043274,-43.9400794,113,0.344,1694,48,4,3,1
220000.0,61,1,2,0,1,2.0,1,75.0,120.0,0,2073,0,1,0,-19.8043274,-43.9400794,113,0.344,1694,48,4,3,1
170274.88,50,1,2,0,1,2.0,1,78.92,110.0,0,2073,0,1,0,-19.8043274,-43.9400794,113,0.344,1694,48,4,3,1
180000.0,50,1,2,0,1,3.0,1,78.92,110.0,0,2073,0,1,0,-19.8043274,-43.9400794,113,0.344,1694,48,4,3,1
179000.0,50,1,2,0,1,2.0,1,78.92,110.0,0,2073,0,1,0,-19.8043274,-43.9400794,113,0.344,1694,48,4,3,1
150000.0,45,1,2,0,1,3.0,0,34.04,60.0,0,2445,0,0,0,-19.8046125,-43.932264,106,0.457,1816,48,1,5,2
135000.0,48,1,2,0,1,4.0,1,25.0,150.0,0,2234,0,0,0,-19.80462176,-43.93581073,106,0.273,1816,48,4,4,2
170000.0,47,1,2,0,1,4.0,1,33.0,210.0,0,2234,0,0,0,-19.80462176,-43.93581073,106,0.273,1816,48,4,4,2
155990.8,50,1,2,0,1,2.0,1,50.0,210.0,0,2234,0,0,0,-19.80462176,-43.93581073,106,0.273,1816,48,4,4,2
136500.0,50,1,2,0,1,2.0,1,33.33,190.0,1,2036,0,0,0,-19.8068733,-43.935594,106,0.523,1816,48,5,4,2
160000.0,68,1,2,0,1,1.0,1,60.0,170.0,0,2051,0,1,0,-19.8074623,-43.9345134,106,0.602,1816,48,4,4,2
210000.0,57,1,2,0,1,1.0,1,66.67,225.0,0,2051,0,1,0,-19.8074623,-43.9345134,106,0.602,1816,48,4,4,2
159000.0,49,1,2,0,1,3.0,1,34.0,150.0,1,1911,0,0,0,-19.8080428,-43.9359107,106,0.652,1816,48,3,4,3
175000.0,56,1,2,0,1,1.0,1,38.77,180.0,0,3770,0,1,0,-19.80443762,-43.97763071,76,1.133,1901,29,6,8,1
179000.0,50,1,2,0,1,3.0,1,32.0,200.0,0,3567,0,1,0,-19.80470999,-43.97553004,76,0.913,1901,29,5,7,2
206243.31,69,1,2,0,1,1.0,1,35.0,200.0,0,3559,0,1,0,-19.80485001,-43.97553004,76,0.908,1901,29,5,7,2
162000.0,53,1,2,0,1,4.0,1,40.0,200.0,0,3559,0,1,0,-19.80485001,-43.97553004,76,0.908,1901,29,5,7,2
499000.0,110,2,3,1,2,2.0,2,100.0,250.0,0,3945,0,0,0,-19.8068081,-43.9808713,68,1.231,1792,29,5,7,2
295000.0,55,1,2,0,1,1.0,1,80.0,120.0,0,3740,0,0,0,-19.81133999,-43.98067996,64,1.094,2196,29,6,7,3
229000.0,55,1,2,0,1,2.0,1,80.0,120.0,0,3740,0,0,0,-19.81133999,-43.98067996,64,1.094,2196,29,6,7,3
229000.0,55,1,2,0,1,3.0,1,50.0,180.0,0,3740,0,0,0,-19.81133999,-43.98067996,64,1.094,2196,29,6,7,3
250000.0,101,1,2,0,1,1.0,1,91.0,120.0,0,3878,0,0,0,-19.8117597,-43.9822029,64,1.168,2196,29,8,7,2
309000.0,90,2,2,1,2,5.0,1,180.0,200.0,0,4238,0,0,0,-19.80457998,-43.98282003,68,0.998,1792,48,4,7,0
240000.0,50,2,2,0,2,4.0,1,100.0,120.0,0,4238,0,0,0,-19.80457998,-43.98282003,68,0.998,1792,48,4,7,0
189000.0,48,1,2,0,1,5.0,1,450.0,210.0,0,4090,0,0,0,-19.80624734,-43.98211882,68,1.09,1792,48,5,7,2
145000.0,47,1,2,0,1,1.0,1,66.67,150.0,0,4734,0,0,0,-19.80714742,-43.98918921,68,0.448,1792,48,3,6,2
373000.0,120,2,2,1,2,3.0,1,140.0,130.0,0,4722,0,0,0,-19.80718454,-43.98907734,68,0.459,1792,48,3,6,2
312300.0,85,1,2,0,1,5.0,1,84.0,200.0,0,4826,0,0,0,-19.80771897,-43.99033786,68,0.421,1792,48,7,6,2
353500.0,85,2,2,0,2,5.0,1,84.0,180.0,0,4826,0,0,0,-19.80771897,-43.99033786,68,0.421,1792,48,7,6,2
303000.0,71,1,2,0,1,2.0,1,40.0,180.0,0,4826,0,0,0,-19.80771897,-43.99033786,68,0.421,1792,48,7,6,2
191000.0,45,1,2,0,1,2.0,1,36.0,180.0,0,4826,0,0,0,-19.80771897,-43.99033786,68,0.421,1792,48,7,6,2
201000.0,45,1,2,0,1,3.0,1,34.0,180.0,0,4826,0,0,0,-19.80771897,-43.99033786,68,0.421,1792,48,7,6,2
328250.0,85,2,2,0,2,5.0,1,84.0,180.0,0,4826,0,0,0,-19.80771897,-43.99033786,68,0.421,1792,48,7,6,2
150000.0,60,1,2,0,1,2.0,1,50.0,160.0,0,4682,0,0,0,-19.8081764,-43.98904795,68,0.541,1792,48,5,6,2
154300.0,56,1,2,0,1,2.0,1,31.08,150.0,0,4682,0,0,0,-19.8081764,-43.98904795,68,0.541,1792,48,5,6,2
230000.0,68,2,3,1,2,3.0,1,88.0,150.0,0,4052,0,0,0,-19.81041517,-43.98350116,68,1.14,1792,48,6,7,1
245000.0,51,1,2,0,1,4.0,1,100.0,120.0,0,4068,0,0,0,-19.81253998,-43.98433003,68,1.23,1792,48,9,10,3
150000.0,47,1,2,0,1,2.0,1,35.0,170.0,0,4969,0,1,0,-19.81461163,-43.99360183,95,0.818,1472,48,1,6,4
161000.0,45,1,2,0,1,3.0,1,29.17,180.0,0,5001,0,1,0,-19.81482826,-43.99394772,95,0.802,1472,48,1,6,4
